Tx1,Ty1,Tz1,Qo1,Qx1,Qy1,Qz1,error,time,sensorStat,frame
0,0,0,0,0,0,0,0,0.0844587,02,1136
0,0,0,0,0,0,0,0,0.0201239,02,1160
0,0,0,0,0,0,0,0,0.0150841,02,1168
0,0,0,0,0,0,0,0,0.0180452,02,1176
0,0,0,0,0,0,0,0,0.0357641,02,1184
0,0,0,0,0,0,0,0,0.0090643,02,1192
0,0,0,0,0,0,0,0,0.0431487,02,1200
0,0,0,0,0,0,0,0,0.0215975,02,1208
0,0,0,0,0,0,0,0,0.0110146,02,1216
0,0,0,0,0,0,0,0,0.0423293,02,1224
0,0,0,0,0,0,0,0,0.0186288,02,1232
0,0,0,0,0,0,0,0,0.0140702,02,1240
0,0,0,0,0,0,0,0,0.0396458,02,1248
0,0,0,0,0,0,0,0,0.0191375,02,1256
0,0,0,0,0,0,0,0,0.0167336,02,1264
0,0,0,0,0,0,0,0,0.0405153,02,1272
0,0,0,0,0,0,0,0,0.0187137,02,1280
0,0,0,0,0,0,0,0,0.0160562,02,1288
0,0,0,0,0,0,0,0,0.0256525,02,1296
0,0,0,0,0,0,0,0,0.0228031,02,1304
0,0,0,0,0,0,0,0,0.0430042,02,1312
0,0,0,0,0,0,0,0,0.0199658,02,1320
0,0,0,0,0,0,0,0,0.0142161,02,1328
0,0,0,0,0,0,0,0,0.0432259,02,1336
0,0,0,0,0,0,0,0,0.0295376,02,1344
0,0,0,0,0,0,0,0,0.0089842,02,1352
0,0,0,0,0,0,0,0,0.0165886,02,1360
0,0,0,0,0,0,0,0,0.0248918,02,1368
0,0,0,0,0,0,0,0,0.0248693,02,1376
0,0,0,0,0,0,0,0,0.0419457,02,1384
0,0,0,0,0,0,0,0,0.0218981,02,1392
0,0,0,0,0,0,0,0,0.0112035,02,1400
0,0,0,0,0,0,0,0,0.0411172,02,1408
0,0,0,0,0,0,0,0,0.0197833,02,1416
0,0,0,0,0,0,0,0,0.0151575,02,1424
0,0,0,0,0,0,0,0,0.0247386,02,1432
0,0,0,0,0,0,0,0,0.0220359,02,1440
0,0,0,0,0,0,0,0,0.0431069,02,1448
0,0,0,0,0,0,0,0,0.0207409,02,1456
0,0,0,0,0,0,0,0,0.0121656,02,1464
0,0,0,0,0,0,0,0,0.0445348,02,1472
0,0,0,0,0,0,0,0,0.0175036,02,1480
0,0,0,0,0,0,0,0,0.0137805,02,1488
0,0,0,0,0,0,0,0,0.0427463,02,1496
0,0,0,0,0,0,0,0,0.0190395,02,1504
0,0,0,0,0,0,0,0,0.0125645,02,1512
0,0,0,0,0,0,0,0,0.0414958,02,1520
0,0,0,0,0,0,0,0,0.0217631,02,1528
0,0,0,0,0,0,0,0,0.0122401,02,1536
0,0,0,0,0,0,0,0,0.040678,02,1544
0,0,0,0,0,0,0,0,0.0183942,02,1552
0,0,0,0,0,0,0,0,0.0156402,02,1560
0,0,0,0,0,0,0,0,0.0232452,02,1568
0,0,0,0,0,0,0,0,0.0261847,02,1576
0,0,0,0,0,0,0,0,0.039218,02,1584
0,0,0,0,0,0,0,0,0.0214808,02,1592
0,0,0,0,0,0,0,0,0.0138883,02,1600
0,0,0,0,0,0,0,0,0.041319,02,1608
0,0,0,0,0,0,0,0,0.0197456,02,1616
0,0,0,0,0,0,0,0,0.0144008,02,1624
0,0,0,0,0,0,0,0,0.0432483,02,1632
0,0,0,0,0,0,0,0,0.018457,02,1640
0,0,0,0,0,0,0,0,0.011826,02,1648
0,0,0,0,0,0,0,0,0.0431769,02,1656
0,0,0,0,0,0,0,0,0.0197959,02,1664
0,0,0,0,0,0,0,0,0.0131812,02,1672
0,0,0,0,0,0,0,0,0.0214314,02,1680
0,0,0,0,0,0,0,0,0.029849,02,1688
0,0,0,0,0,0,0,0,0.0391651,02,1696
0,0,0,0,0,0,0,0,0.0224549,02,1704
0,0,0,0,0,0,0,0,0.0112706,02,1712
0,0,0,0,0,0,0,0,0.0389997,02,1720
0,0,0,0,0,0,0,0,0.020074,02,1728
0,0,0,0,0,0,0,0,0.0157784,02,1736
0,0,0,0,0,0,0,0,0.0443139,02,1744
0,0,0,0,0,0,0,0,0.0191378,02,1752
0,0,0,0,0,0,0,0,0.0141381,02,1760
0,0,0,0,0,0,0,0,0.0231977,02,1768
0,0,0,0,0,0,0,0,0.0251546,02,1776
0,0,0,0,0,0,0,0,0.0415256,02,1784
0,0,0,0,0,0,0,0,0.0214254,02,1792
0,0,0,0,0,0,0,0,0.0115103,02,1800
0,0,0,0,0,0,0,0,0.042348,02,1808
0,0,0,0,0,0,0,0,0.0210445,02,1816
0,0,0,0,0,0,0,0,0.0087737,02,1824
0,0,0,0,0,0,0,0,0.0451392,02,1832
0,0,0,0,0,0,0,0,0.0190381,02,1840
0,0,0,0,0,0,0,0,0.0140764,02,1848
0,0,0,0,0,0,0,0,0.0401032,02,1856
0,0,0,0,0,0,0,0,0.0213003,02,1864
0,0,0,0,0,0,0,0,0.0145008,02,1872
0,0,0,0,0,0,0,0,0.040592,02,1880
0,0,0,0,0,0,0,0,0.0221589,02,1888
0,0,0,0,0,0,0,0,0.01016,02,1896
0,0,0,0,0,0,0,0,0.0383936,02,1904
0,0,0,0,0,0,0,0,0.0216368,02,1912
0,0,0,0,0,0,0,0,0.0158699,02,1920
0,0,0,0,0,0,0,0,0.0419812,02,1928
0,0,0,0,0,0,0,0,0.019416,02,1936
0,0,0,0,0,0,0,0,0.0142709,02,1944
0,0,0,0,0,0,0,0,0.0415848,02,1952
0,0,0,0,0,0,0,0,0.0242531,02,1960
0,0,0,0,0,0,0,0,0.006659,02,1968
0,0,0,0,0,0,0,0,0.0449646,02,1976
0,0,0,0,0,0,0,0,0.022853,02,1984
0,0,0,0,0,0,0,0,0.0119238,02,1992
0,0,0,0,0,0,0,0,0.0211043,02,2000
0,0,0,0,0,0,0,0,0.0421418,02,2008
0,0,0,0,0,0,0,0,0.0206754,02,2016
0,0,0,0,0,0,0,0,0.0116947,02,2024
0,0,0,0,0,0,0,0,0.0419485,02,2032
0,0,0,0,0,0,0,0,0.0192154,02,2040
0,0,0,0,0,0,0,0,0.0123648,02,2048
0,0,0,0,0,0,0,0,0.0454791,02,2056
0,0,0,0,0,0,0,0,0.0179927,02,2064
0,0,0,0,0,0,0,0,0.0137148,02,2072
0,0,0,0,0,0,0,0,0.0408802,02,2080
0,0,0,0,0,0,0,0,0.0220055,02,2088
0,0,0,0,0,0,0,0,0.0141376,02,2096
0,0,0,0,0,0,0,0,0.0414674,02,2104
0,0,0,0,0,0,0,0,0.0193628,02,2112
0,0,0,0,0,0,0,0,0.0105595,02,2120
0,0,0,0,0,0,0,0,0.0389712,02,2128
0,0,0,0,0,0,0,0,0.0201681,02,2136
0,0,0,0,0,0,0,0,0.0166539,02,2144
0,0,0,0,0,0,0,0,0.0420884,02,2152
0,0,0,0,0,0,0,0,0.0176978,02,2160
0,0,0,0,0,0,0,0,0.0157196,02,2168
0,0,0,0,0,0,0,0,0.0248798,02,2176
0,0,0,0,0,0,0,0,0.0262854,02,2184
0,0,0,0,0,0,0,0,0.0392303,02,2192
0,0,0,0,0,0,0,0,0.0217082,02,2200
0,0,0,0,0,0,0,0,0.0108149,02,2208
0,0,0,0,0,0,0,0,0.0427007,02,2216
0,0,0,0,0,0,0,0,0.0193502,02,2224
0,0,0,0,0,0,0,0,0.0160921,02,2232
0,0,0,0,0,0,0,0,0.0248383,02,2240
0,0,0,0,0,0,0,0,0.0238809,02,2248
0,0,0,0,0,0,0,0,0.0424945,02,2256
0,0,0,0,0,0,0,0,0.0217653,02,2264
0,0,0,0,0,0,0,0,0.0096661,02,2272
0,0,0,0,0,0,0,0,0.0559989,02,2280
0,0,0,0,0,0,0,0,0.0214018,02,2288
0,0,0,0,0,0,0,0,0.0099185,02,2296
0,0,0,0,0,0,0,0,0.0141908,02,2304
0,0,0,0,0,0,0,0,0.0418924,02,2312
0,0,0,0,0,0,0,0,0.020463,02,2320
0,0,0,0,0,0,0,0,0.0136937,02,2328
0,0,0,0,0,0,0,0,0.0222955,02,2336
0,0,0,0,0,0,0,0,0.0260426,02,2344
0,0,0,0,0,0,0,0,0.0401046,02,2352
0,0,0,0,0,0,0,0,0.0195202,02,2360
0,0,0,0,0,0,0,0,0.0133942,02,2368
0,0,0,0,0,0,0,0,0.0411714,02,2376
0,0,0,0,0,0,0,0,0.0212475,02,2384
0,0,0,0,0,0,0,0,0.0124357,02,2392
0,0,0,0,0,0,0,0,0.0420387,02,2400
0,0,0,0,0,0,0,0,0.021232,02,2408
0,0,0,0,0,0,0,0,0.0107241,02,2416
0,0,0,0,0,0,0,0,0.039297,02,2424
0,0,0,0,0,0,0,0,0.0188645,02,2432
0,0,0,0,0,0,0,0,0.0206583,02,2440
0,0,0,0,0,0,0,0,0.024853,02,2448
0,0,0,0,0,0,0,0,0.0237648,02,2456
0,0,0,0,0,0,0,0,0.0257047,02,2464
0,0,0,0,0,0,0,0,0.0418357,02,2472
0,0,0,0,0,0,0,0,0.0191184,02,2480
0,0,0,0,0,0,0,0,0.0126426,02,2488
0,0,0,0,0,0,0,0,0.0247642,02,2496
0,0,0,0,0,0,0,0,0.0247169,02,2504
0,0,0,0,0,0,0,0,0.0444252,02,2512
0,0,0,0,0,0,0,0,0.0203092,02,2520
0,0,0,0,0,0,0,0,0.0085301,02,2528
0,0,0,0,0,0,0,0,0.0480624,02,2536
0,0,0,0,0,0,0,0,0.0179666,02,2544
0,0,0,0,0,0,0,0,0.0119088,02,2552
0,0,0,0,0,0,0,0,0.0388958,02,2560
0,0,0,0,0,0,0,0,0.0212276,02,2568
0,0,0,0,0,0,0,0,0.0148507,02,2576
0,0,0,0,0,0,0,0,0.0246618,02,2584
0,0,0,0,0,0,0,0,0.024264,02,2592
0,0,0,0,0,0,0,0,0.043971,02,2600
0,0,0,0,0,0,0,0,0.0202249,02,2608
0,0,0,0,0,0,0,0,0.0131525,02,2616
0,0,0,0,0,0,0,0,0.0396129,02,2624
0,0,0,0,0,0,0,0,0.0222368,02,2632
0,0,0,0,0,0,0,0,0.0121542,02,2640
0,0,0,0,0,0,0,0,0.0397832,02,2648
0,0,0,0,0,0,0,0,0.0208733,02,2656
0,0,0,0,0,0,0,0,0.0156868,02,2664
0,0,0,0,0,0,0,0,0.0225146,02,2672
0,0,0,0,0,0,0,0,0.0258466,02,2680
0,0,0,0,0,0,0,0,0.0387047,02,2688
0,0,0,0,0,0,0,0,0.0190565,02,2696
0,0,0,0,0,0,0,0,0.0176799,02,2704
0,0,0,0,0,0,0,0,0.042337,02,2712
0,0,0,0,0,0,0,0,0.0193314,02,2720
0,0,0,0,0,0,0,0,0.0087292,02,2728
0,0,0,0,0,0,0,0,0.0434503,02,2736
0,0,0,0,0,0,0,0,0.0188654,02,2744
0,0,0,0,0,0,0,0,0.0174802,02,2752
0,0,0,0,0,0,0,0,0.0239982,02,2760
0,0,0,0,0,0,0,0,0.0235041,02,2768
0,0,0,0,0,0,0,0,0.0404382,02,2776
0,0,0,0,0,0,0,0,0.0212285,02,2784
0,0,0,0,0,0,0,0,0.0151961,02,2792
0,0,0,0,0,0,0,0,0.0376049,02,2800
0,0,0,0,0,0,0,0,0.0199122,02,2808
0,0,0,0,0,0,0,0,0.0161025,02,2816
0,0,0,0,0,0,0,0,0.0421159,02,2824
0,0,0,0,0,0,0,0,0.0217868,02,2832
0,0,0,0,0,0,0,0,0.0119836,02,2840
0,0,0,0,0,0,0,0,0.0396559,02,2848
0,0,0,0,0,0,0,0,0.0221705,02,2856
0,0,0,0,0,0,0,0,0.0110882,02,2864
0,0,0,0,0,0,0,0,0.0410743,02,2872
0,0,0,0,0,0,0,0,0.0203815,02,2880
0,0,0,0,0,0,0,0,0.0137915,02,2888
0,0,0,0,0,0,0,0,0.0415582,02,2896
0,0,0,0,0,0,0,0,0.0193028,02,2904
0,0,0,0,0,0,0,0,0.0144952,02,2912
0,0,0,0,0,0,0,0,0.0236104,02,2920
0,0,0,0,0,0,0,0,0.0269435,02,2928
0,0,0,0,0,0,0,0,0.0230538,02,2936
0,0,0,0,0,0,0,0,0.0328595,02,2944
0,0,0,0,0,0,0,0,0.0182268,02,2952
0,0,0,0,0,0,0,0,0.0434363,02,2960
0,0,0,0,0,0,0,0,0.0203905,02,2968
0,0,0,0,0,0,0,0,0.0099016,02,2976
0,0,0,0,0,0,0,0,0.0436079,02,2984
0,0,0,0,0,0,0,0,0.0206021,02,2992
0,0,0,0,0,0,0,0,0.0139318,02,3000
0,0,0,0,0,0,0,0,0.0398936,02,3008
