Nose,Center of Chest,right shoulder,right elbow,right wrist,left shoulder,left elbow,left wrist,right hip,right knee,right ankle,left hip,left knee,right ankle,right eye,left eye,right ear,left ear,time
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.184,0.014,0.483","-0.093,0.181,0.558","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.64425
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.184,0.014,0.483","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.6744628
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.184,0.014,0.484","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.6925495
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.184,0.014,0.484","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.7125146
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.184,0.014,0.485","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.7425141
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.184,0.014,0.484","-0.092,0.18,0.554","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.7810678
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.185,0.011,0.487","-0.096,0.184,0.552","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.841053
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.185,0.011,0.487","-0.096,0.183,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.8610547
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.185,0.011,0.487","-0.096,0.183,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.8810542
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.185,0.011,0.487","-0.096,0.183,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.9200547
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.185,0.011,0.486","-0.096,0.183,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.9858108
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.185,0.011,0.487","-0.096,0.183,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739251.9989192
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.187,0.01,0.481","-0.096,0.189,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.055798
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.187,0.01,0.481","-0.096,0.189,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.0789459
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.187,0.01,0.481","-0.096,0.189,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.0989463
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.186,0.01,0.48","-0.096,0.189,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.1270561
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.187,0.01,0.481","-0.096,0.189,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.1658776
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.187,0.01,0.481","-0.096,0.189,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.2016048
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.2632086
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.2862833
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.3087716
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.3288407
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.3715212
"-0.174,-0.207,0.407","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",1629739252.4036841
"-0.163,-0.18,0.353","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.216,0.408","0,0,0","0,0,0",1629739252.4610972
"-0.162,-0.179,0.351","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.216,0.408","0,0,0","0,0,0",1629739252.4711194
"-0.163,-0.179,0.352","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.216,0.408","0,0,0","0,0,0",1629739252.4945865
"-0.163,-0.179,0.352","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.216,0.408","0,0,0","0,0,0",1629739252.5374095
"-0.163,-0.179,0.352","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.171,-0.216,0.409","0,0,0","0,0,0",1629739252.558868
"-0.163,-0.179,0.352","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.171,-0.216,0.409","0,0,0","0,0,0",1629739252.6022553
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.189,0.001,0.488","-0.096,0.179,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.171,-0.218,0.399","0,0,0","0,0,0",1629739252.6638474
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.189,0.001,0.487","-0.096,0.179,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.217,0.398","0,0,0","0,0,0",1629739252.6914792
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.19,0.001,0.489","-0.096,0.179,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.217,0.397","0,0,0","0,0,0",1629739252.7201042
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.189,0.001,0.487","-0.096,0.179,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.217,0.398","0,0,0","0,0,0",1629739252.741031
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.189,0.001,0.487","-0.096,0.179,0.55","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.217,0.397","0,0,0","0,0,0",1629739252.7710624
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.189,0.001,0.487","-0.096,0.179,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.217,0.397","0,0,0","0,0,0",1629739252.814137
"-0.161,-0.178,0.349","0,0,0","0,0,0","0,0,0","0,0,0","-0.181,0.014,0.488","-0.092,0.18,0.554","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.168,-0.213,0.403","0,0,0","0,0,0",1629739254.3869147
"-0.161,-0.178,0.349","0,0,0","0,0,0","0,0,0","0,0,0","-0.181,0.014,0.488","-0.092,0.18,0.553","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.168,-0.212,0.402","0,0,0","0,0,0",1629739254.4089658
"-0.161,-0.178,0.349","0,0,0","0,0,0","0,0,0","0,0,0","-0.18,0.014,0.487","-0.092,0.18,0.555","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.168,-0.213,0.403","0,0,0","0,0,0",1629739254.4412272
"-0.161,-0.178,0.349","0,0,0","0,0,0","0,0,0","0,0,0","-0.181,0.014,0.488","-0.092,0.18,0.553","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.168,-0.213,0.403","0,0,0","0,0,0",1629739254.4689429
"-0.161,-0.178,0.349","0,0,0","0,0,0","0,0,0","0,0,0","-0.181,0.014,0.488","-0.092,0.18,0.553","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.168,-0.213,0.403","0,0,0","0,0,0",1629739254.4983842
"-0.161,-0.178,0.349","0,0,0","0,0,0","0,0,0","0,0,0","-0.181,0.014,0.488","-0.092,0.18,0.553","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.168,-0.213,0.403","0,0,0","0,0,0",1629739254.539512
"-0.165,-0.181,0.349","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.169,-0.214,0.405","0,0,0","0,0,0",1629739255.945344
"-0.165,-0.181,0.349","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.214,0.406","0,0,0","0,0,0",1629739255.96542
"-0.164,-0.181,0.348","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.214,0.406","0,0,0","0,0,0",1629739255.9830096
"-0.164,-0.181,0.348","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.215,0.407","0,0,0","0,0,0",1629739256.0249696
"-0.164,-0.181,0.348","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.169,-0.214,0.405","0,0,0","0,0,0",1629739256.0556118
"-0.164,-0.181,0.348","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.17,-0.214,0.406","0,0,0","0,0,0",1629739256.0756135
"-0.162,-0.178,0.35","0,0,0","0,0,0","0,0,0","0,0,0","-0.185,0.011,0.486","-0.096,0.183,0.551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.169,-0.213,0.404","0,0,0","0,0,0",1629739257.3355339
"-0.162,-0.178,0.35","0,0,0","0,0,0","0,0,0","0,0,0","-0.184,0.011,0.485","-0.096,0.183,0.55","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.169,-0.213,0.404","0,0,0","0,0,0",1629739257.361114
