Nose,Center of Chest,right shoulder,right elbow,right wrist,left shoulder,left elbow,left wrist,right hip,right knee,right ankle,left hip,left knee,right ankle,right eye,left eye,right ear,left ear,time
"-0.19,-0.155,0.435","0,0,0","0,0,0","0,0,0","0,0,0","-0.253,0.034,0.596","-0.202,0.225,0.674","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.18,0.419","-0.195,-0.196,0.468","-0.326,-0.157,0.42","0,0,0",1627598302.2691824
"-0.19,-0.155,0.435","0,0,0","0,0,0","0,0,0","0,0,0","-0.254,0.034,0.597","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.18,0.419","-0.194,-0.195,0.465","-0.327,-0.154,0.422","0,0,0",1627598302.3491647
"-0.19,-0.155,0.435","0,0,0","0,0,0","0,0,0","0,0,0","-0.253,0.034,0.596","-0.202,0.225,0.675","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.18,0.419","-0.199,-0.196,0.478","-0.326,-0.157,0.42","0,0,0",1627598302.4311104
"-0.19,-0.155,0.435","-0.304,-0.014,0.415","0,0,0","0,0,0","0,0,0","-0.253,0.034,0.596","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.18,0.42","-0.199,-0.195,0.477","-0.328,-0.154,0.423","0,0,0",1627598302.5182638
"-0.19,-0.155,0.435","-0.304,-0.014,0.415","0,0,0","0,0,0","0,0,0","-0.253,0.034,0.596","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.18,0.42","-0.196,-0.196,0.48","-0.327,-0.154,0.422","0,0,0",1627598302.5933402
"-0.19,-0.155,0.436","-0.304,-0.014,0.415","0,0,0","0,0,0","0,0,0","-0.254,0.034,0.597","-0.202,0.232,0.675","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.225,-0.181,0.422","-0.198,-0.198,0.483","-0.327,-0.158,0.421","0,0,0",1627598302.691278
"-0.186,-0.156,0.437","0,0,0","0,0,0","0,0,0","0,0,0","-0.258,0.028,0.594","-0.203,0.226,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.183,0.419","-0.194,-0.199,0.474","-0.326,-0.157,0.42","0,0,0",1627598302.795118
"-0.186,-0.156,0.437","-0.304,-0.014,0.416","0,0,0","0,0,0","0,0,0","-0.258,0.028,0.593","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.225,-0.184,0.422","-0.193,-0.197,0.471","-0.327,-0.158,0.421","0,0,0",1627598302.89009
"-0.186,-0.159,0.436","0,0,0","0,0,0","0,0,0","0,0,0","-0.259,0.028,0.596","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.184,0.42","-0.195,-0.199,0.476","-0.327,-0.158,0.422","0,0,0",1627598302.985017
"-0.186,-0.158,0.435","-0.308,-0.014,0.415","0,0,0","0,0,0","0,0,0","-0.257,0.034,0.592","-0.203,0.226,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.187,0.419","-0.195,-0.2,0.477","-0.327,-0.158,0.421","0,0,0",1627598303.0784853
"-0.188,-0.157,0.43","0,0,0","0,0,0","0,0,0","0,0,0","-0.258,0.028,0.594","-0.203,0.232,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.187,0.419","-0.195,-0.2,0.477","-0.327,-0.158,0.422","0,0,0",1627598303.1687634
"-0.187,-0.16,0.429","0,0,0","0,0,0","0,0,0","0,0,0","-0.257,0.034,0.592","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.23,-0.19,0.416","-0.194,-0.199,0.465","-0.328,-0.158,0.423","0,0,0",1627598303.2659757
"-0.186,-0.16,0.427","-0.304,-0.014,0.415","0,0,0","0,0,0","0,0,0","-0.258,0.028,0.594","-0.199,0.233,0.68","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.228,-0.187,0.419","-0.194,-0.199,0.475","-0.328,-0.158,0.423","0,0,0",1627598303.3624313
"-0.186,-0.159,0.426","0,0,0","0,0,0","0,0,0","0,0,0","-0.254,0.034,0.598","-0.198,0.233,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.23,-0.189,0.415","-0.194,-0.199,0.474","-0.324,-0.162,0.422","0,0,0",1627598303.450975
"-0.189,-0.163,0.426","0,0,0","0,0,0","0,0,0","0,0,0","-0.257,0.033,0.591","-0.199,0.234,0.681","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.227,-0.191,0.418","-0.194,-0.199,0.474","-0.326,-0.163,0.424","0,0,0",1627598303.5419235
"-0.189,-0.163,0.425","0,0,0","0,0,0","0,0,0","0,0,0","-0.254,0.034,0.598","-0.199,0.234,0.682","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.23,-0.19,0.416","-0.196,-0.196,0.469","-0.326,-0.163,0.425","0,0,0",1627598303.6199355
"-0.194,-0.164,0.427","-0.307,-0.01,0.414","0,0,0","0,0,0","0,0,0","-0.258,0.034,0.593","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.23,-0.189,0.423","-0.194,-0.199,0.475","-0.329,-0.164,0.428","0,0,0",1627598303.686167
"-0.195,-0.165,0.43","-0.305,-0.014,0.417","0,0,0","0,0,0","0,0,0","-0.259,0.034,0.595","-0.199,0.234,0.682","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.236,-0.195,0.42","-0.2,-0.201,0.479","-0.334,-0.166,0.431","0,0,0",1627598303.7743828
"-0.197,-0.167,0.435","-0.308,-0.018,0.421","0,0,0","0,0,0","0,0,0","-0.259,0.028,0.596","-0.2,0.235,0.684","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.238,-0.2,0.43","-0.202,-0.207,0.483","-0.336,-0.166,0.433","0,0,0",1627598303.8742747
"-0.201,-0.174,0.443","-0.309,-0.014,0.417","0,0,0","0,0,0","0,0,0","-0.262,0.028,0.603","-0.205,0.227,0.682","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.244,-0.206,0.435","-0.207,-0.212,0.485","-0.34,-0.172,0.438","0,0,0",1627598303.9653802
"-0.204,-0.181,0.45","-0.311,-0.018,0.42","0,0,0","0,0,0","0,0,0","-0.265,0.028,0.598","-0.204,0.234,0.681","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.249,-0.21,0.443","-0.213,-0.217,0.498","-0.344,-0.174,0.443","0,0,0",1627598304.0601692
"-0.209,-0.182,0.453","-0.315,-0.018,0.419","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.604","-0.205,0.228,0.685","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.254,-0.211,0.445","-0.215,-0.216,0.503","-0.345,-0.171,0.445","0,0,0",1627598304.1387606
"-0.207,-0.183,0.457","-0.314,-0.018,0.418","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.605","-0.201,0.236,0.687","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.255,-0.212,0.447","-0.216,-0.217,0.506","-0.345,-0.174,0.445","0,0,0",1627598304.202562
"0,0,0","-0.316,-0.018,0.416","0,0,0","0,0,0","0,0,0","-0.266,0.034,0.6","-0.205,0.234,0.683","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.253,-0.213,0.45","-0.214,-0.219,0.502","-0.346,-0.175,0.446","0,0,0",1627598304.2957065
"-0.205,-0.185,0.461","-0.312,-0.018,0.416","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.603","-0.205,0.234,0.682","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.252,-0.213,0.449","-0.215,-0.22,0.493","-0.347,-0.175,0.447","0,0,0",1627598304.3893328
"0,0,0","-0.311,-0.014,0.419","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.601","-0.199,0.234,0.683","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.25,-0.211,0.446","-0.213,-0.214,0.499","-0.346,-0.175,0.446","0,0,0",1627598304.4816227
